Connection established...
[MODE:0][Sel:Y][FCW:       1][      59] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      60] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      61] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      62] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      63] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      64] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      65] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      66] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      67] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      68] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      69] : [ref/(xxxxx,x)] vs [mpw/(xxxxx, x)] ---> FLUSH | Err=0
[MODE:0][Sel:Y][FCW:       1][      70] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      71] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      72] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      73] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      74] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      75] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      76] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      77] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      78] : [ref/(  -16,1)] vs [mpw/(  -16, 1)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      79] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      80] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
[MODE:0][Sel:Y][FCW:       1][      81] : [ref/(  -16,0)] vs [mpw/(  -16, 0)] ---> PASS  | Err=0
