txMsgBitstream nrzI nrzQ modI modQ modOut deModI deModQ lpfI lpfQ sampledStreamI sampledStreamQ rxMsgToBitstream
0 -1 -1 -423 2000 1577 667071 -3154000 -2.12082e+06 -1.95123e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1191 1665 474 564534 -789210 -2.11262e+06 -1.98992e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1731 1083 -648 -1121688 701784 -2.1057e+06 -2.02012e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -2025 301 -1724 -3491100 518924 -2.10004e+06 -2.04319e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1980 -517 -2497 -4944060 -1290949 -2.09554e+06 -2.06041e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1627 -1239 -2866 -4662982 -3550974 -2.09203e+06 -2.07294e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1003 -1782 -2785 -2793355 -4962870 -2.0894e+06 -2.08178e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -237 -2030 -2267 -537279 -4602010 -2.08751e+06 -2.08777e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 580 -1963 -1383 802140 -2714829 -2.08627e+06 -2.09166e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1293 -1588 -295 381435 -468460 -2.08557e+06 -2.09405e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1812 -947 865 -1567380 819155 -2.08532e+06 -2.09544e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 2041 -140 1901 -3879941 266140 -2.08539e+06 -2.09622e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1935 654 2589 -5009715 -1693206 -2.08566e+06 -2.09667e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 1524 1363 2887 -4399788 -3934981 -2.08604e+06 -2.09694e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 860 1856 2716 -2335760 -5040896 -2.08647e+06 -2.09711e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 78 2044 2122 -165516 -4337368 -2.08692e+06 -2.09721e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -712 1915 1203 856536 -2303745 -2.08738e+06 -2.09728e+06 -2.08692e+06 -2.09721e+06 0
0 -1 -1 -1412 1482 70 98840 -103740 -2.08784e+06 -2.09732e+06 -2.08692e+06 -2.09721e+06 0
1 1 1 1880 -802 1078 2026640 -864556 -2.08827e+06 -2.09733e+06 2.09371e+06 2.09512e+06 1
1 1 1 2046 16 2062 4218852 32992 -2.08866e+06 -2.09733e+06 2.09371e+06 2.09512e+06 1
1 1 1 1880 802 2682 5042160 2150964 -2.08889e+06 -2.09733e+06 2.09371e+06 2.09512e+06 1
1 1 1 1410 1482 2892 4077720 4285944 -2.08875e+06 -2.09735e+06 2.09371e+06 2.09512e+06 1
1 1 1 715 1915 2630 1880450 5036450 -2.08787e+06 -2.09732e+06 2.09371e+06 2.09512e+06 1
1 1 1 -78 2045 1967 -153426 4022515 -2.08575e+06 -2.09707e+06 2.09371e+06 2.09512e+06 1
1 1 1 -862 1856 994 -856828 1844864 -2.08177e+06 -2.09628e+06 2.09371e+06 2.09512e+06 1
1 1 1 -1522 1363 -159 241998 -216717 -2.07521e+06 -2.09451e+06 2.09371e+06 2.09512e+06 1
