Connection established...
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 0), (-1589,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1289, 1), (-1589,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,0), (    0,0)] vs [mpw/(-1137, 0), (-1700,0)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/(    0,1), (    0,1)] vs [mpw/(-1137, 1), (-1700,1)] ---> Flush, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,0), (  -16,0)] vs [mpw/( 2043, 0), (  -16,0)] ---> PASS, ErrNum: 0
[FCW=   16384] | [(X, VldX), (Y, VldY)] : [ref/( 2043,1), (  -16,1)] vs [mpw/( 2043, 1), (  -16,1)] ---> PASS, ErrNum: 0
